id_cliente,evasao_cliente,idade,genero,qtde_dependentes,escolaridade,estado_civil,faixa_renda,categoria_cartao,meses_como_cliente,total_produtos,meses_inativos_12m,contatos_12m,limite_credito,saldo_rotativo,credito_disponivel_medio,variacao_valor_transacoes_Q4_Q1,valor_total_transacoes,qtde_total_transacoes,variacao_qtde_transacoes_Q4_Q1,taxa_utilizacao_media,taxa_inatividade_12m,freq_transacoes_12m,ticket_medio_transacoes,ticket_medio_produto,nivel_endividamento,faixa_utilizacao_limite,mudanca_padrao_uso,score_risco_evasao,categoria_risco
708790833,Ativo,42,M,5,Sem Escolaridade,Sem Informação,Altissima,Blue,31,5,3,2,6748.0,1467,5281.0,0.831,1201,42,0.68,0.217,0.25,3.5,28.595238095238095,240.2,0.21739774748073504,Baixo,Forte Queda,0.0017375611,Baixíssimo risco
710821833,Ativo,65,M,1,Sem informação,Casado(a),Baixa,Blue,54,6,2,3,9095.0,1587,7508.0,1.433,1314,26,1.364,0.174,0.16666666666666666,2.1666666666666665,50.53846153846154,219.0,0.17449147883452445,Baixo,Pequeno Crescimento,0.00011510173,Baixíssimo risco
710599683,Ativo,56,M,1,Graduação,Solteiro(a),Alta,Blue,36,3,6,0,11751.0,0,11751.0,3.397,1539,17,3.25,0.0,0.5,1.4166666666666667,90.52941176470588,513.0,0.0,Baixíssimo,Forte Crescimento,0.0014476142,Baixíssimo risco
816082233,Ativo,35,M,3,Pós-Graduação,Sem Informação,Média,Blue,30,5,1,3,8547.0,1666,6881.0,1.163,1311,33,2.0,0.195,0.08333333333333333,2.75,39.72727272727273,262.2,0.19492219492219492,Baixo,Forte Crescimento,0.00029490454,Baixíssimo risco
712396908,Ativo,57,F,2,Pós-Graduação,Casado(a),Baixíssima,Blue,48,5,2,2,2436.0,680,1756.0,1.19,1570,29,0.611,0.279,0.16666666666666666,2.4166666666666665,54.13793103448276,314.0,0.2791461412151067,Baixo,Forte Queda,0.0003501437,Baixíssimo risco
714885258,Ativo,44,M,4,Sem informação,Sem Informação,Alta,Blue,37,5,1,2,4234.0,972,3262.0,1.707,1348,27,1.7,0.23,0.08333333333333333,2.25,49.925925925925924,269.6,0.2295701464336325,Baixo,Forte Crescimento,0.00014343893,Baixíssimo risco
709967358,Ativo,48,M,4,Mestrado,Solteiro(a),Alta,Blue,36,6,2,3,30367.0,2362,28005.0,1.708,1671,27,0.929,0.078,0.16666666666666666,2.25,61.888888888888886,278.5,0.07778180261468041,Baixíssimo,Queda,0.00038278842,Baixíssimo risco
753327333,Ativo,41,M,3,Sem informação,Casado(a),Alta,Blue,34,4,4,1,13535.0,1291,12244.0,0.653,1028,21,1.625,0.095,0.3333333333333333,1.75,48.95238095238095,257.0,0.095382342076099,Baixíssimo,Forte Crescimento,0.006367214,Baixíssimo risco
806160108,Ativo,61,M,1,Ensino Médio,Casado(a),Baixa,Blue,56,2,2,3,3193.0,2517,676.0,1.831,1336,30,1.143,0.788,0.16666666666666666,2.5,44.53333333333333,668.0,0.7882868775446289,Alta,Estável,0.0033186926,Baixíssimo risco
709327383,Ativo,45,F,2,Pós-Graduação,Casado(a),Sem Informação,Blue,37,6,1,2,14470.0,1157,13313.0,0.966,1207,21,0.909,0.08,0.08333333333333333,1.75,57.476190476190474,201.16666666666666,0.07995853489979267,Baixíssimo,Queda,0.00029034322,Baixíssimo risco
806165208,Ativo,47,M,1,Doutorado,Divorciado(a),Média,Blue,42,5,2,0,20979.0,1800,19179.0,0.906,1178,27,0.929,0.086,0.16666666666666666,2.25,43.629629629629626,235.6,0.0858000858000858,Baixíssimo,Queda,8.2331804e-05,Baixíssimo risco
708508758,Saiu,62,F,0,Pós-Graduação,Casado(a),Baixíssima,Blue,49,2,3,3,1438.3,0,1438.3,1.047,692,16,0.6,0.0,0.25,1.3333333333333333,43.25,346.0,0.0,Baixíssimo,Forte Queda,0.9996952,Saiu
784725333,Ativo,41,M,3,Ensino Médio,Casado(a),Baixa,Blue,33,4,2,1,4470.0,680,3790.0,1.608,931,18,1.571,0.152,0.16666666666666666,1.5,51.72222222222222,232.75,0.15212527964205816,Baixo,Forte Crescimento,0.36397484,Médio risco
811604133,Ativo,47,F,4,Sem informação,Solteiro(a),Baixíssima,Blue,36,3,3,2,2492.0,1560,932.0,0.573,1126,23,0.353,0.626,0.25,1.9166666666666667,48.95652173913044,375.3333333333333,0.6260032102728732,Alta,Forte Queda,0.009516088,Baixíssimo risco
789124683,Ativo,54,M,2,Sem informação,Casado(a),Alta,Blue,42,4,2,3,12217.0,0,12217.0,1.075,1110,21,0.75,0.0,0.16666666666666666,1.75,52.857142857142854,277.5,0.0,Baixíssimo,Forte Queda,0.03034768,Baixíssimo risco
771071958,Ativo,41,F,3,Pós-Graduação,Solteiro(a),Baixíssima,Blue,28,6,1,2,7768.0,1669,6099.0,0.797,1051,22,0.833,0.215,0.08333333333333333,1.8333333333333333,47.77272727272727,175.16666666666666,0.21485581874356333,Baixo,Queda,0.00030496198,Baixíssimo risco
720466383,Ativo,59,M,1,Ensino Médio,Sem Informação,Baixa,Blue,46,4,1,2,14784.0,1374,13410.0,0.921,1197,23,1.3,0.093,0.08333333333333333,1.9166666666666667,52.04347826086956,299.25,0.0929383116883117,Baixíssimo,Pequeno Crescimento,0.0003514304,Baixíssimo risco
804424383,Ativo,63,M,1,Sem informação,Casado(a),Média,Blue,56,3,3,2,10215.0,1010,9205.0,0.843,1904,40,1.0,0.099,0.25,3.3333333333333335,47.6,634.6666666666666,0.09887420460107685,Baixíssimo,Estável,0.0015311547,Baixíssimo risco
718813833,Ativo,44,F,3,Sem Escolaridade,Solteiro(a),Sem Informação,Blue,34,5,2,2,10100.0,0,10100.0,0.525,1052,18,1.571,0.0,0.16666666666666666,1.5,58.44444444444444,210.4,0.0,Baixíssimo,Forte Crescimento,0.017492888,Baixíssimo risco
806624208,Ativo,47,M,4,Ensino Médio,Casado(a),Baixa,Blue,42,6,0,0,4785.0,1362,3423.0,0.739,1045,38,0.9,0.285,0.0,3.1666666666666665,27.5,174.16666666666666,0.2846394984326019,Baixo,Queda,0.0007590335,Baixíssimo risco
778348233,Ativo,53,M,3,Sem informação,Casado(a),Alta,Blue,33,3,2,3,2753.0,1811,942.0,0.977,1038,25,2.571,0.658,0.16666666666666666,2.0833333333333335,41.52,346.0,0.6578278241917908,Alta,Forte Crescimento,0.010755635,Baixíssimo risco
712991808,Ativo,53,M,2,Sem Escolaridade,Casado(a),Média,Blue,48,2,5,1,2451.0,1690,761.0,1.323,1596,26,1.6,0.69,0.4166666666666667,2.1666666666666665,61.38461538461539,798.0,0.689514483884129,Alta,Forte Crescimento,0.00034516893,Baixíssimo risco
709029408,Ativo,41,M,4,Pós-Graduação,Casado(a),Média,Blue,36,4,1,2,8923.0,2517,6406.0,1.726,1589,24,1.667,0.282,0.08333333333333333,2.0,66.20833333333333,397.25,0.2820800179311891,Baixo,Forte Crescimento,0.00023645867,Baixíssimo risco
788658483,Ativo,53,F,2,Graduação,Casado(a),Baixíssima,Blue,38,5,2,3,2650.0,1490,1160.0,1.75,1411,28,1.0,0.562,0.16666666666666666,2.3333333333333335,50.392857142857146,282.2,0.5622641509433962,Médio,Estável,0.00015660336,Baixíssimo risco
787937058,Ativo,58,M,0,Pós-Graduação,Casado(a),Alta,Blue,49,6,2,2,12555.0,1696,10859.0,0.519,1291,24,0.714,0.135,0.16666666666666666,2.0,53.791666666666664,215.16666666666666,0.13508562325766627,Baixo,Forte Queda,0.00016692695,Baixíssimo risco
715318008,Ativo,55,F,1,Graduação,Solteiro(a),Baixíssima,Blue,36,4,2,1,3520.0,1914,1606.0,0.51,1407,43,0.483,0.544,0.16666666666666666,3.5833333333333335,32.72093023255814,351.75,0.54375,Médio,Forte Queda,0.0023611046,Baixíssimo risco
713962233,Ativo,55,F,3,Pós-Graduação,Casado(a),Baixíssima,Blue,36,6,2,3,3035.0,2298,737.0,1.724,1877,37,1.176,0.757,0.16666666666666666,3.0833333333333335,50.729729729729726,312.8333333333333,0.757166392092257,Alta,Estável,2.9517487e-05,Baixíssimo risco
785432733,Ativo,42,F,4,Ensino Médio,Casado(a),Baixíssima,Gold,36,2,3,3,15433.0,0,15433.0,0.865,966,22,1.2,0.0,0.25,1.8333333333333333,43.90909090909091,483.0,0.0,Baixíssimo,Estável,0.95579475,Altíssimo risco
715190283,Ativo,57,F,1,Pós-Graduação,Sem Informação,Baixa,Blue,49,3,3,2,3672.0,886,2786.0,1.32,1464,28,0.556,0.241,0.25,2.3333333333333335,52.285714285714285,488.0,0.24128540305010893,Baixo,Forte Queda,0.0057257386,Baixíssimo risco
708300483,Saiu,66,F,0,Doutorado,Casado(a),Sem Informação,Blue,56,5,4,3,7882.0,605,7277.0,1.052,704,16,0.143,0.077,0.3333333333333333,1.3333333333333333,44.0,140.8,0.07675716823141335,Baixíssimo,Forte Queda,0.99923503,Saiu
827111283,Ativo,45,M,3,Pós-Graduação,Solteiro(a),Alta,Blue,41,2,2,2,32426.0,578,31848.0,1.042,1109,28,0.474,0.018,0.16666666666666666,2.3333333333333335,39.607142857142854,554.5,0.017825201998396347,Baixíssimo,Forte Queda,0.98297334,Altíssimo risco
758551608,Ativo,51,M,2,Sem informação,Casado(a),Baixa,Blue,44,4,1,0,6205.0,2204,4001.0,0.803,1347,28,0.556,0.355,0.08333333333333333,2.3333333333333335,48.107142857142854,336.75,0.35519742143432714,Médio,Forte Queda,0.00076910603,Baixíssimo risco
773146383,Ativo,50,F,1,Graduação,Solteiro(a),Baixa,Silver,43,3,2,3,17304.0,2517,14787.0,1.449,1756,33,1.2,0.145,0.16666666666666666,2.75,53.21212121212121,585.3333333333334,0.14545769764216365,Baixo,Estável,0.0028960896,Baixíssimo risco
778493808,Ativo,49,M,3,Ensino Médio,Casado(a),Média,Blue,37,5,2,1,3906.0,0,3906.0,1.214,1756,32,1.0,0.0,0.16666666666666666,2.6666666666666665,54.875,351.2,0.0,Baixíssimo,Estável,0.00017025882,Baixíssimo risco
720572508,Ativo,38,F,4,Pós-Graduação,Solteiro(a),Sem Informação,Blue,28,2,3,3,9830.0,2055,7775.0,0.977,1042,23,0.917,0.209,0.25,1.9166666666666667,45.30434782608695,521.0,0.20905391658189218,Baixo,Queda,0.41427138,Médio risco
712661433,Ativo,49,M,4,Sem Escolaridade,Solteiro(a),Alta,Blue,30,3,2,3,34516.0,0,34516.0,1.621,1444,28,1.333,0.0,0.16666666666666666,2.3333333333333335,51.57142857142857,481.3333333333333,0.0,Baixíssimo,Pequeno Crescimento,0.0031567044,Baixíssimo risco
789172683,Ativo,56,M,2,Doutorado,Casado(a),Média,Blue,45,6,2,0,2283.0,1430,853.0,2.316,1741,27,0.588,0.626,0.16666666666666666,2.25,64.48148148148148,290.1666666666667,0.6263688129653964,Alta,Forte Queda,3.2445805e-05,Baixíssimo risco
738406533,Ativo,59,M,1,Doutorado,Casado(a),Baixa,Blue,52,3,2,2,2548.0,2020,528.0,2.357,1719,27,1.7,0.793,0.16666666666666666,2.25,63.666666666666664,573.0,0.792778649921507,Alta,Forte Crescimento,3.945632e-05,Baixíssimo risco
799723908,Ativo,46,M,3,Ensino Médio,Casado(a),Alta,Blue,40,4,3,3,19458.0,1435,18023.0,0.787,1217,27,0.8,0.074,0.25,2.25,45.074074074074076,304.25,0.07374858669955803,Baixíssimo,Queda,0.0018420552,Baixíssimo risco
771490833,Ativo,52,M,1,Graduação,Solteiro(a),Alta,Blue,40,5,1,1,4745.0,1227,3518.0,0.624,1140,40,0.6,0.259,0.08333333333333333,3.3333333333333335,28.5,228.0,0.2585879873551106,Baixo,Forte Queda,0.0002602852,Baixíssimo risco
720756708,Ativo,52,F,3,Sem informação,Casado(a),Baixíssima,Blue,41,6,3,2,2622.0,1549,1073.0,1.321,1878,30,1.143,0.591,0.25,2.5,62.6,313.0,0.5907704042715485,Médio,Estável,9.0171634e-05,Baixíssimo risco
779471883,Saiu,54,F,1,Pós-Graduação,Casado(a),Baixíssima,Blue,40,2,3,1,1438.3,808,630.3,0.997,705,19,0.9,0.562,0.25,1.5833333333333333,37.10526315789474,352.5,0.561774316901898,Médio,Queda,0.9826074,Saiu
711525033,Ativo,66,F,0,Ensino Médio,Casado(a),Baixíssima,Blue,54,3,4,2,3171.0,2179,992.0,1.224,1946,38,1.923,0.687,0.3333333333333333,3.1666666666666665,51.21052631578947,648.6666666666666,0.6871649321980448,Alta,Forte Crescimento,0.00016872917,Baixíssimo risco
712813458,Ativo,49,M,2,Sem informação,Casado(a),Altissima,Blue,36,4,2,0,19763.0,2517,17246.0,0.664,1414,35,0.25,0.127,0.16666666666666666,2.9166666666666665,40.4,353.5,0.12735920659818853,Baixo,Forte Queda,0.031618375,Baixíssimo risco
714374133,Saiu,56,M,2,Pós-Graduação,Casado(a),Altissima,Blue,36,1,3,3,15769.0,0,15769.0,1.041,602,15,0.364,0.0,0.25,1.25,40.13333333333333,602.0,0.0,Baixíssimo,Forte Queda,0.9998716,Saiu
717891558,Ativo,49,F,4,Pós-Graduação,Sem Informação,Baixíssima,Blue,36,6,4,2,3298.0,2200,1098.0,0.678,1052,32,0.6,0.667,0.3333333333333333,2.6666666666666665,32.875,175.33333333333334,0.667070952092177,Alta,Forte Queda,0.01347763,Baixíssimo risco
716632758,Ativo,49,F,3,Pós-Graduação,Solteiro(a),Baixíssima,Blue,36,2,2,0,2802.0,2363,439.0,0.75,1295,40,0.6,0.843,0.16666666666666666,3.3333333333333335,32.375,647.5,0.8433261955745895,Alta,Forte Queda,0.06379506,Baixíssimo risco
768563658,Ativo,56,M,2,Sem Escolaridade,Casado(a),Baixa,Blue,50,4,2,3,4458.0,1880,2578.0,1.107,1424,29,1.417,0.422,0.16666666666666666,2.4166666666666665,49.10344827586207,356.0,0.4217137729923733,Médio,Pequeno Crescimento,0.00014143414,Baixíssimo risco
711427458,Ativo,44,F,5,Pós-Graduação,Casado(a),Sem Informação,Blue,35,4,1,2,6273.0,978,5295.0,2.275,1359,25,1.083,0.156,0.08333333333333333,2.0833333333333335,54.36,339.75,0.1559062649450024,Baixo,Estável,0.00044004442,Baixíssimo risco
714091983,Ativo,42,M,2,Ensino Médio,Solteiro(a),Média,Blue,34,4,4,3,3336.0,1753,1583.0,0.69,1168,27,1.25,0.525,0.3333333333333333,2.25,43.25925925925926,292.0,0.5254796163069544,Médio,Pequeno Crescimento,0.00082343706,Baixíssimo risco
787584108,Ativo,55,M,3,Sem informação,Casado(a),Alta,Blue,47,4,2,3,3436.0,2016,1420.0,0.901,1097,33,0.833,0.587,0.16666666666666666,2.75,33.24242424242424,274.25,0.5867287543655413,Médio,Queda,0.0172189,Baixíssimo risco
712030833,Saiu,48,M,2,Pós-Graduação,Casado(a),Média,Silver,35,2,4,4,34516.0,0,34516.0,0.763,691,15,0.5,0.0,0.3333333333333333,1.25,46.06666666666667,345.5,0.0,Baixíssimo,Forte Queda,0.9998969,Saiu
711481533,Ativo,39,M,1,Ensino Médio,Divorciado(a),Média,Blue,33,5,3,3,5926.0,1251,4675.0,0.944,1316,28,1.154,0.211,0.25,2.3333333333333335,47.0,263.2,0.21110361120485993,Baixo,Estável,0.00077240646,Baixíssimo risco
710082708,Ativo,44,M,4,Mestrado,Solteiro(a),Altissima,Blue,32,2,4,2,23957.0,2102,21855.0,0.997,1276,26,0.733,0.088,0.3333333333333333,2.1666666666666665,49.07692307692308,638.0,0.08774053512543306,Baixíssimo,Forte Queda,0.044628218,Baixíssimo risco
708155733,Ativo,53,M,2,Ensino Médio,Solteiro(a),Altissima,Blue,44,4,2,2,14734.0,1634,13100.0,0.989,1289,23,0.917,0.111,0.16666666666666666,1.9166666666666667,56.04347826086956,322.25,0.11089995927786073,Baixo,Queda,6.0046958e-05,Baixíssimo risco
788979258,Ativo,51,M,4,Sem Escolaridade,Solteiro(a),Alta,Silver,38,4,1,4,34516.0,1515,33001.0,0.592,1293,32,0.6,0.044,0.08333333333333333,2.6666666666666665,40.40625,323.25,0.043892687449298876,Baixíssimo,Forte Queda,0.0054118666,Baixíssimo risco
807986133,Ativo,57,M,2,Graduação,Casado(a),Média,Blue,52,5,3,3,6584.0,1817,4767.0,0.62,1353,35,0.667,0.276,0.25,2.9166666666666665,38.65714285714286,270.6,0.27597205346294046,Baixo,Forte Queda,0.0020581363,Baixíssimo risco
788730933,Ativo,44,F,2,Sem Escolaridade,Solteiro(a),Baixíssima,Blue,20,6,3,3,2084.0,1468,616.0,1.004,1132,28,0.556,0.704,0.25,2.3333333333333335,40.42857142857143,188.66666666666666,0.7044145873320538,Alta,Forte Queda,0.0034933717,Baixíssimo risco
711314058,Ativo,49,M,2,Pós-Graduação,Casado(a),Média,Blue,32,2,2,2,1687.0,1107,580.0,1.715,1670,17,2.4,0.656,0.16666666666666666,1.4166666666666667,98.23529411764706,835.0,0.6561944279786603,Alta,Forte Crescimento,0.0032171786,Baixíssimo risco
717975333,Ativo,50,M,2,Doutorado,Casado(a),Alta,Blue,38,6,2,2,25300.0,1330,23970.0,1.072,837,15,2.0,0.053,0.16666666666666666,1.25,55.8,139.5,0.05256916996047431,Baixíssimo,Forte Crescimento,0.049361683,Baixíssimo risco
715971108,Ativo,51,M,4,Pós-Graduação,Solteiro(a),Altissima,Blue,42,3,2,3,34516.0,1763,32753.0,1.266,1550,41,1.05,0.051,0.16666666666666666,3.4166666666666665,37.80487804878049,516.6666666666666,0.051077761038359024,Baixíssimo,Estável,6.9617905e-05,Baixíssimo risco
720096558,Ativo,55,F,2,Pós-Graduação,Casado(a),Baixíssima,Blue,42,5,3,3,2216.0,1034,1182.0,0.758,1540,36,0.286,0.467,0.25,3.0,42.77777777777778,308.0,0.4666064981949459,Médio,Forte Queda,0.009353014,Baixíssimo risco
719580033,Ativo,54,M,1,Pós-Graduação,Sem Informação,Média,Blue,43,4,2,3,2910.0,2030,880.0,0.769,1256,21,0.4,0.698,0.16666666666666666,1.75,59.80952380952381,314.0,0.697594501718213,Alta,Forte Queda,0.0034877886,Baixíssimo risco
820582308,Ativo,42,M,5,Sem Escolaridade,Casado(a),Alta,Blue,37,6,2,2,22913.0,1528,21385.0,0.414,1394,35,0.522,0.067,0.16666666666666666,2.9166666666666665,39.82857142857143,232.33333333333334,0.06668703356173351,Baixíssimo,Forte Queda,0.00056438526,Baixíssimo risco
789973308,Ativo,44,M,1,Graduação,Solteiro(a),Média,Blue,35,3,3,3,24312.0,1932,22380.0,1.312,1341,24,1.182,0.079,0.25,2.0,55.875,447.0,0.07946692991115499,Baixíssimo,Estável,0.00034890248,Baixíssimo risco
712876233,Ativo,53,M,2,Pós-Graduação,Solteiro(a),Alta,Blue,36,5,3,2,5272.0,1515,3757.0,0.857,1289,33,0.435,0.287,0.25,2.75,39.06060606060606,257.8,0.28736722306525037,Baixo,Forte Queda,0.006099285,Baixíssimo risco
804595158,Ativo,44,F,4,Pós-Graduação,Solteiro(a),Baixíssima,Blue,36,6,4,2,7000.0,2517,4483.0,0.475,1112,23,1.875,0.36,0.3333333333333333,1.9166666666666667,48.34782608695652,185.33333333333334,0.3595714285714286,Médio,Forte Crescimento,0.0033386073,Baixíssimo risco
714826758,Ativo,37,F,3,Sem Escolaridade,Solteiro(a),Baixíssima,Blue,29,4,4,2,7038.0,1801,5237.0,0.751,2339,57,0.966,0.256,0.3333333333333333,4.75,41.03508771929825,584.75,0.25589656152316,Baixo,Queda,0.006891576,Baixíssimo risco
779058108,Ativo,49,M,3,Pós-Graduação,Divorciado(a),Média,Blue,30,6,1,2,2536.0,1823,713.0,0.703,1468,23,0.353,0.719,0.08333333333333333,1.9166666666666667,63.82608695652174,244.66666666666666,0.7188485804416404,Alta,Forte Queda,0.00016185279,Baixíssimo risco
710790258,Ativo,47,M,2,Pós-Graduação,Casado(a),Alta,Blue,38,6,3,2,28904.0,1899,27005.0,0.85,1334,35,0.4,0.066,0.25,2.9166666666666665,38.114285714285714,222.33333333333334,0.06570024910047052,Baixíssimo,Forte Queda,0.0072892224,Baixíssimo risco
715623483,Ativo,47,M,3,Pós-Graduação,Casado(a),Média,Blue,37,4,4,0,8567.0,1695,6872.0,1.242,1457,41,1.412,0.198,0.3333333333333333,3.4166666666666665,35.53658536585366,364.25,0.19785222364888524,Baixo,Pequeno Crescimento,9.354916e-05,Baixíssimo risco
715156383,Ativo,44,M,1,Sem informação,Sem Informação,Altissima,Blue,36,6,2,2,34516.0,1533,32983.0,0.924,1603,29,0.526,0.044,0.16666666666666666,2.4166666666666665,55.275862068965516,267.1666666666667,0.04441418472592421,Baixíssimo,Forte Queda,0.0023598066,Baixíssimo risco
711013983,Saiu,55,F,4,Sem informação,Casado(a),Baixa,Blue,45,2,4,3,2158.0,0,2158.0,0.585,615,12,0.714,0.0,0.3333333333333333,1.0,51.25,307.5,0.0,Baixíssimo,Forte Queda,0.99945074,Saiu
755420433,Ativo,59,F,1,Pós-Graduação,Casado(a),Sem Informação,Blue,52,2,3,3,10133.0,1417,8716.0,0.383,1068,20,0.818,0.14,0.25,1.6666666666666667,53.4,534.0,0.13984012631994475,Baixo,Queda,0.23444031,Baixo risco
794543958,Ativo,53,M,1,Pós-Graduação,Divorciado(a),Alta,Blue,35,5,4,2,34516.0,1219,33297.0,1.129,1590,27,2.0,0.035,0.3333333333333333,2.25,58.888888888888886,318.0,0.035316954455904506,Baixíssimo,Forte Crescimento,0.00016130507,Baixíssimo risco
716396358,Ativo,52,M,2,Pós-Graduação,Casado(a),Média,Blue,47,5,3,0,3085.0,1910,1175.0,0.921,1531,35,0.667,0.619,0.25,2.9166666666666665,43.74285714285714,306.2,0.6191247974068071,Alta,Forte Queda,1.917904e-05,Baixíssimo risco
715398033,Ativo,53,M,2,Ensino Médio,Solteiro(a),Altissima,Blue,35,4,2,1,19040.0,2056,16984.0,0.607,1212,31,0.722,0.108,0.16666666666666666,2.5833333333333335,39.096774193548384,303.0,0.10798319327731093,Baixo,Forte Queda,0.0008267014,Baixíssimo risco
711743883,Ativo,43,F,3,Sem Escolaridade,Solteiro(a),Baixíssima,Blue,35,5,2,3,4026.0,0,4026.0,0.483,1237,32,0.6,0.0,0.16666666666666666,2.6666666666666665,38.65625,247.4,0.0,Baixíssimo,Forte Queda,0.018483486,Baixíssimo risco
719720058,Ativo,44,M,3,Ensino Médio,Solteiro(a),Média,Blue,31,4,3,1,12756.0,837,11919.0,1.932,1413,14,1.8,0.066,0.25,1.1666666666666667,100.92857142857143,353.25,0.06561618062088428,Baixíssimo,Forte Crescimento,0.00012783571,Baixíssimo risco
778992108,Ativo,57,M,2,Sem informação,Casado(a),Altissima,Blue,45,5,3,3,5266.0,0,5266.0,1.702,1516,29,1.636,0.0,0.25,2.4166666666666665,52.275862068965516,303.2,0.0,Baixíssimo,Forte Crescimento,0.0009762695,Baixíssimo risco
717539808,Ativo,51,F,2,Ensino Médio,Solteiro(a),Baixíssima,Blue,36,3,2,2,9930.0,0,9930.0,0.731,1276,21,1.333,0.0,0.16666666666666666,1.75,60.76190476190476,425.3333333333333,0.0,Baixíssimo,Pequeno Crescimento,0.006598374,Baixíssimo risco
714070758,Ativo,49,M,4,Ensino Médio,Solteiro(a),Alta,Blue,38,4,3,0,31302.0,1953,29349.0,0.875,1564,35,2.182,0.062,0.25,2.9166666666666665,44.68571428571428,391.0,0.06239217941345601,Baixíssimo,Forte Crescimento,2.0083444e-05,Baixíssimo risco
714107958,Ativo,45,M,1,Pós-Graduação,Solteiro(a),Baixa,Blue,36,4,4,3,6576.0,0,6576.0,0.579,1465,34,0.619,0.0,0.3333333333333333,2.8333333333333335,43.088235294117645,366.25,0.0,Baixíssimo,Forte Queda,0.124017924,Baixo risco
789140283,Ativo,53,M,0,Pós-Graduação,Solteiro(a),Alta,Blue,42,5,4,1,2664.0,2037,627.0,0.85,1286,29,0.933,0.765,0.3333333333333333,2.4166666666666665,44.3448275862069,257.2,0.7646396396396397,Alta,Queda,6.272634e-05,Baixíssimo risco
715550508,Ativo,45,F,3,Sem informação,Casado(a),Sem Informação,Blue,28,5,1,2,2535.0,2440,95.0,1.705,1312,20,1.222,0.963,0.08333333333333333,1.6666666666666667,65.6,262.4,0.9625246548323472,Altíssimo,Pequeno Crescimento,0.00031772893,Baixíssimo risco
